Date,Rep,Trial ,Clam_Number,Sex,Length (siphon to foot),Width (hinge up),Consumed (1= consumed)
23-Jun-22,5,6,9,F,29,24,1
23-Jun-22,5,6,10,F,31,25,0
23-Jun-22,5,6,11,F,35,27,0
23-Jun-22,5,6,12,F,32,26,1
23-Jun-22,5,6,13,F,34,30,1
23-Jun-22,5,6,14,F,35,29,0
23-Jun-22,5,6,15,F,32,25,1
23-Jun-22,5,6,16,F,35,31,0
23-Jun-22,6,1,1,F,33,27,0
24-Jun-22,6,2,1,F,34,29,1
24-Jun-22,6,2,2,F,28,22,1
24-Jun-22,6,3,1,F,39,31,0
24-Jun-22,6,3,2,F,31,25,0
24-Jun-22,6,3,3,F,34,29,0
24-Jun-22,6,3,4,F,40,31,0
24-Jun-22,6,4,1,F,40,34,0
24-Jun-22,6,4,2,F,30,22,0
24-Jun-22,6,4,3,F,31,24,0
24-Jun-22,6,4,4,F,28,22,0
24-Jun-22,6,4,5,F,39,31,0
24-Jun-22,6,4,6,F,34,26,0
24-Jun-22,6,5,1,F,38,30,1
24-Jun-22,6,5,2,F,34,27,1
24-Jun-22,6,5,3,F,26,22,1
24-Jun-22,6,5,4,F,40,34,1
24-Jun-22,6,5,5,F,34,29,1
24-Jun-22,6,5,6,F,25,19,1
24-Jun-22,6,5,7,F,31,25,1
24-Jun-22,6,5,8,F,26,20,0
24-Jun-22,6,5,9,F,37,30,0
24-Jun-22,6,5,10,F,30,24,1
24-Jun-22,6,6,1,F,37,30,1
24-Jun-22,6,6,2,F,40,33,0
24-Jun-22,6,6,3,F,28,23,1
24-Jun-22,6,6,4,F,30,24,0
24-Jun-22,6,6,5,F,35,28,0
24-Jun-22,6,6,6,F,26,21,1
24-Jun-22,6,6,7,F,35,36,1
24-Jun-22,6,6,8,F,38,31,1
24-Jun-22,6,6,9,F,28,25,0
24-Jun-22,6,6,10,F,35,29,0
24-Jun-22,6,6,11,F,30,24,0
24-Jun-22,6,6,12,F,29,23,1
24-Jun-22,6,6,13,F,35,29,0
24-Jun-22,6,6,14,F,34,26,0
24-Jun-22,6,6,15,F,40,31,1
24-Jun-22,6,6,16,F,30,23,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
