Date,Rep,Trial,Clam,Sed,Density,Sex,CW,Claw_width,Clam_Consumed,Failed to bury,Dug up but uneaten,Notes
24-Jun-22,6,5,VC,no,10,F,65,15,8,NA,,
24-Jun-22,6,6,VC,no,16,F,70,16,7,NA,,
25-Jun-22,1,1,VC,yes,1,M,78,13,0,0,,
27-Jun-22,1,2,VC,yes,2,M,66,19,0,,,
25-Jun-22,1,3,VC,yes,4,M,60,16,0,0,,
27-Jun-22,1,4,VC,yes,6,M,75,22,0,,,
27-Jun-22,1,5,VC,yes,10,M,75,24,2,,,
25-Jun-22,1,6,VC,yes,16,M,70,20,3,5,,
25-Jun-22,1,1,VC,no,1,M,71,20,1,NA,,
27-Jun-22,1,2,VC,no,2,M,66,20,1,NA,,
25-Jun-22,1,3,VC,no,4,M,74,21,3,NA,,
27-Jun-22,1,4,VC,no,6,M,66,15,5,NA,,
27-Jun-22,1,5,VC,no,10,M,66,18,7,NA,,
27-Jun-22,1,6,VC,no,16,M,64,15,3,NA,,
25-Jun-22,1,1,JLN,yes,1,M,62,16,0,0,,
27-Jun-22,1,2,JLN,yes,2,M,71,25,1,,,
25-Jun-22,1,3,JLN,yes,4,M,59,15,0,0,,
25-Jun-22,1,4,JLN,yes,6,M,66,12,0,2,,
27-Jun-22,1,5,JLN,yes,10,M,72,22,2,,,
27-Jun-22,1,6,JLN,yes,16,M,71,20,3,0,,Watched him try to pick up a bunch of clams and could not eat
25-Jun-22,1,1,JLN,no,1,M,67,18,0,NA,,
25-Jun-22,1,2,JLN,no,2,M,66,19,0,NA,,
27-Jun-22,1,3,JLN,no,4,M,73,22,0,NA,,
25-Jun-22,1,4,JLN,no,6,M,70,20,0,NA,,
25-Jun-22,1,5,JLN,no,10,M,71,21,0,NA,,
27-Jun-22,1,6,JLN,no,16,M,70,24,0,NA,,
29-Jun-22,2,1,VC,yes,1,M,65,18,0,,,
28-Jun-22,2,2,VC,yes,2,M,66,20,1,0,,
28-Jun-22,2,3,VC,yes,4,M,65,21,1,0,,
28-Jun-22,2,4,VC,yes,6,M,75,23,1,0,,
28-Jun-22,2,5,VC,yes,10,M,67,20,5,0,,
29-Jun-22,2,6,VC,yes,16,M,70,20,3,,,
28-Jun-22,2,1,VC,no,1,M,68,21,1,NA,,
29-Jun-22,2,2,VC,no,2,M,66,15,2,NA,,
29-Jun-22,2,3,VC,no,4,M,73,19,3,NA,,
28-Jun-22,2,4,VC,no,6,M,58,12,4,NA,,
28-Jun-22,2,5,VC,no,10,M,63,15,7,NA,,
29-Jun-22,2,6,VC,no,16,M,63,16,11,NA,,
28-Jun-22,2,1,JLN,yes,1,M,65,16,0,,,
29-Jun-22,2,2,JLN,yes,2,M,68,15,0,,,
29-Jun-22,2,3,JLN,yes,4,M,75,21,3,,,
29-Jun-22,2,4,JLN,yes,6,M,73,17,0,,,
29-Jun-22,2,5,JLN,yes,10,M,68,20,1,,,
28-Jun-22,2,6,JLN,yes,16,M,76,24,2,,11,
29-Jun-22,2,1,JLN,no,1,M,65,14,0,NA,,"no arm, maybe rerun"
29-Jun-22,2,2,JLN,no,2,M,62,12,0,NA,,
29-Jun-22,2,3,JLN,no,4,M,61,11,0,NA,2,
28-Jun-22,2,4,JLN,no,6,M,55,13,0,NA,,
28-Jun-22,2,5,JLN,no,10,M,60,12,0,NA,,
28-Jun-22,2,6,JLN,no,16,M,70,19,0,NA,4,
30-Jun-22,3,1,VC,yes,1,M,68,17,0,,,
01-Jul-22,3,2,VC,yes,2,M,62,12,0,,,
30-Jun-22,3,3,VC,yes,4,M,62,15,0,,,
01-Jul-22,3,4,VC,yes,6,M,66,21,0,,,
01-Jul-22,3,5,VC,yes,10,M,64,21,0,,,
30-Jun-22,3,6,VC,yes,16,M,75,22,6,,,
01-Jul-22,3,1,VC,no,1,M,56,14,1,NA,,
01-Jul-22,3,2,VC,no,2,M,72,23,2,NA,,
30-Jun-22,3,3,VC,no,4,M,63,15,2,NA,,
30-Jun-22,3,4,VC,no,6,M,69,19,3,NA,,
01-Jul-22,3,5,VC,no,10,M,71,21,5,NA,,
30-Jun-22,3,6,VC,no,16,M,68,20,5,NA,,
30-Jun-22,3,1,JLN,yes,1,M,75,22,0,,1,
01-Jul-22,3,2,JLN,yes,2,M,56,14,0,,,
01-Jul-22,3,3,JLN,yes,4,M,64,18,0,,,
30-Jun-22,3,4,JLN,yes,6,M,65,15,1,,2,
01-Jul-22,3,5,JLN,yes,10,M,71,18,2,,5,"had a JLN in it, mabye re run"
1930-06-22,3,6,JLN,yes,16,M,64,16,1,,8,
30-Jun-22,3,1,JLN,no,1,M,75,22,1,NA,,
03-Jul-22,3,2,JLN,no,2,M,65,19,1,NA,,
30-Jun-22,3,3,JLN,no,4,M,67,17,0,NA,,well behaved
30-Jun-22,3,4,JLN,no,6,M,64,15,0,NA,,
01-Jul-22,3,5,JLN,no,10,M,70,20,1,NA,,
01-Jul-22,3,6,JLN,no,16,M,60,14,3,NA,,
03-Jul-22,4,1,VC,yes,1,M,66,18,0,,,
04-Jul-22,4,2,VC,yes,2,M,65,20,0,,,
04-Jul-22,4,3,VC,yes,4,M,65,17,0,,,
03-Jul-22,4,4,VC,yes,6,M,72,20,1,,,
03-Jul-22,4,5,VC,yes,10,M,63,16,3,,,
04-Jul-22,4,6,VC,yes,16,M,73,22,3,,,
03-Jul-22,4,1,VC,no,1,M,75,25,1,NA,,
04-Jul-22,4,2,VC,no,2,M,70,16,2,NA,,
04-Jul-22,4,3,VC,no,4,M,67,16,4,NA,,
04-Jul-22,4,4,VC,no,6,M,70,16,4,NA,,
04-Jul-22,4,5,VC,no,10,M,74,23,5,NA,,
03-Jul-22,4,6,VC,no,16,M,67,17,7,NA,,
03-Jul-22,4,1,JLN,yes,1,M,75,22,0,,1,
04-Jul-22,4,2,JLN,yes,2,M,75,21,0,,,"weird black thing on stomach, tiny hand (parasite)"
04-Jul-22,4,3,JLN,yes,4,M,67,19,0,,,
04-Jul-22,4,4,JLN,yes,6,M,75,25,0,,,
03-Jul-22,4,5,JLN,yes,10,M,67,17,0,,4,
03-Jul-22,4,6,JLN,yes,16,M,72,20,1,,9,
04-Jul-22,4,1,JLN,no,1,M,70,17,0,NA,,
03-Jul-22,4,2,JLN,no,2,M,66,14,0,NA,,
04-Jul-22,4,3,JLN,no,4,M,68,18,0,NA,,
03-Jul-22,4,4,JLN,no,6,M,73,16,1,NA,,
03-Jul-22,4,5,JLN,no,10,M,64,15,0,NA,,
03-Jul-22,4,6,JLN,no,16,M,75,23,6,NA,,
05-Jul-22,5,1,VC,yes,1,M,70,20,0,,,
05-Jul-22,5,2,VC,yes,2,M,74,18,0,,,
06-Jul-22,5,3,VC,yes,4,M,66,18,0,,,
05-Jul-22,5,4,VC,yes,6,M,72,20,0,,,
06-Jul-22,5,5,VC,yes,10,M,75,22,0,,,
06-Jul-22,5,6,VC,yes,16,M,65,17,0,,2,
06-Jul-22,5,1,VC,no,1,M,74,16,1,,,
05-Jul-22,5,2,VC,no,2,M,57,13,2,,,
05-Jul-22,5,3,VC,no,4,M,71,15,4,,,
06-Jul-22,5,4,VC,no,6,M,60,15,4,,,
06-Jul-22,5,5,VC,no,10,M,66,16,5,,,
06-Jul-22,5,6,VC,no,16,M,66,16,7,,,
05-Jul-22,5,1,JLN,yes,1,M,68,13,0,,,
06-Jul-22,5,2,JLN,yes,2,M,65,22,0,,,
05-Jul-22,5,3,JLN,yes,4,M,75,22,0,,2,
05-Jul-22,5,4,JLN,yes,6,M,67,11,0,,2,
06-Jul-22,5,5,JLN,yes,10,M,75,25,2,,,
06-Jul-22,5,6,JLN,yes,16,M,63,14,0,,4,
06-Jul-22,5,1,JLN,no,1,M,75,26,1,,,
05-Jul-22,5,2,JLN,no,2,M,60,14,0,,,
05-Jul-22,5,3,JLN,no,4,M,75,24,0,,,
05-Jul-22,5,4,JLN,no,6,M,75,23,0,,,
05-Jul-22,5,5,JLN,no,10,M,70,18,0,,,
06-Jul-22,5,6,JLN,no,16,M,75,22,3,,,
07-Jul-22,6,1,VC,yes,1,M,55,14,0,,,
08-Jul-22,6,2,VC,yes,2,M,57,13,0,,,
07-Jul-22,6,3,VC,yes,4,M,72,22,0,,,
07-Jul-22,6,4,VC,yes,6,M,60,15,0,,,
07-Jul-22,6,5,VC,yes,10,M,70,21,0,,,
08-Jul-22,6,6,VC,yes,16,M,66,16,3,,,
08-Jul-22,6,1,VC,no,1,M,65,15,1,,,
08-Jul-22,6,2,VC,no,2,M,62,15,2,,,
08-Jul-22,6,3,VC,no,4,M,65,17,4,,,
07-Jul-22,6,4,VC,no,6,M,65,17,5,,,
07-Jul-22,6,5,VC,no,10,M,69,18,4,,,
08-Jul-22,6,6,VC,no,16,M,75,22,11,,,
07-Jul-22,6,1,JLN,yes,1,M,75,23,0,,,
08-Jul-22,6,2,JLN,yes,2,M,60,14,0,,2,
08-Jul-22,6,3,JLN,yes,4,M,64,18,0,,,
07-Jul-22,6,4,JLN,yes,6,M,70,25,0,,,
08-Jul-22,6,5,JLN,yes,10,M,66,16,0,,,
08-Jul-22,6,6,JLN,yes,16,M,60,15,0,,,
08-Jul-22,6,1,JLN,no,1,M,65,13,0,,,
08-Jul-22,6,2,JLN,no,2,M,65,15,0,,,
07-Jul-22,6,3,JLN,no,4,M,60,14,0,,,
07-Jul-22,6,4,JLN,no,6,M,75,25,1,,,
07-Jul-22,6,5,JLN,no,10,M,60,14,0,,1,
07-Jul-22,6,6,JLN,no,16,M,75,18,1,,4,
09-Jul-22,2,1,JLN,no,1,M,67,14,0,,,
09-Jul-22,3,5,JLN,yes,10,M,63,13,0,,4,
